iso2c	iso3c	country	date	SP.POP.TOTL	IT.NET.USER.ZS	SP.DYN.LE00.IN	ST.INT.ARVL	GB.XPD.RSDV.GD.ZS	NY.GDP.MKTP.PP.CD
AT	AUT	Austria	2000	8011566	33.73013295	78.1268292682927	17982000	1.88602	235436116744.555
AT	AUT	Austria	2002	8081957	36.56	78.6780487804878	18611000	2.06598	251984858807.042
AT	AUT	Austria	2015	8642699	83.94014193	81.190243902439	26728000	3.04979	431091486465.673
AT	AUT	Austria	2011	8391643	78.7399931	80.9829268292683	23012000	2.66868	373031463577.163
AT	AUT	Austria	2014	8546356	80.99582496	81.490243902439	25291000	3.08429	417059741085.658
AT	AUT	Austria	2001	8042293	39.18545018	78.5756097560976	18180000	1.9921	238980854446.326
AT	AUT	Austria	2007	8295487	69.37	80.1804878048781	20773000	2.41843	326756619923.805
AT	AUT	Austria	2012	8429991	80.02999392	80.9365853658537	24151000	2.91472	391635006784.261
AT	AUT	Austria	2013	8479823	80.6188	81.1365853658537	24813000	2.95492	406370494341.228
AT	AUT	Austria	2019	8877067	87.75220479				524728424244.656
AT	AUT	Austria	2010	8363404	75.17	80.5804878048781	22004000	2.7261	351576515990.438
AT	AUT	Austria	2003	8121423	42.7	78.6317073170732	19078000	2.17456	260771892808.661
AT	AUT	Austria	2017	8797566	87.93558659	81.6439024390244	29460000	3.05212	480672624842.608
AT	AUT	Austria	2004	8171966	54.28	79.1804878048781	19374000	2.16612	275748269094.012
AT	AUT	Austria	2006	8268641	63.6	79.8804878048781	20269000	2.35923	311039320003.298
AT	AUT	Austria	2009	8343323	73.45	80.3317073170732	21355000	2.59674	341721658045.841
AT	AUT	Austria	2005	8227829	58	79.3317073170732	19952000	2.37324	288086851811.747
AT	AUT	Austria	2008	8321496	72.87	80.4317073170732	21935000	2.56945	343812802543
AT	AUT	Austria	2018	8840521	87.47913723	81.6926829268293	30816000	3.17177	502771138675.55
AT	AUT	Austria	2016	8736668	84.32374257	81.6414634146342	28121000	3.12588	459839268477.882
BE	BEL	Belgium	2009	10796493	70	80.0341463414634	6815000	1.98537	407954861225.586
BE	BEL	Belgium	2010	10895586	75	80.1829268292683	7186000	2.05081	434371355469.353
BE	BEL	Belgium	2004	10421137	53.86	78.8780487804878	6710000	1.80898	333830859759.856
BE	BEL	Belgium	2014	11209057	85	81.2878048780488	7887000	2.38729	503619406808.679
BE	BEL	Belgium	2019	11484055	90.37051309				626399512740.897
BE	BEL	Belgium	2015	11274196	85.05294175	80.9926829268293	8355000	2.46123	521017424704.67
BE	BEL	Belgium	2008	10709973	66	79.6804878048781	7165000	1.92413	405729462246.522
BE	BEL	Belgium	2016	11331422	86.51647666	81.4390243902439	7481000	2.55595	550808613604.066
BE	BEL	Belgium	2007	10625700	64.44	79.7829268292683	7045000	1.84413	390526169837.718
BE	BEL	Belgium	2017	11375158	87.67968082	81.4926829268293	8385000	2.70234	577007008859.085
BE	BEL	Belgium	2003	10376133	49.97	78.1292682926829	6690000	1.83184	320612812417.695
